Dates,Category,Descript,PdDistrict,DayOfWeek
2018/1/1,Protests,Peaceful protest,Hunan,星期一
2018/1/1,Protests,Peaceful protest,Guangdong,星期一
2018/1/1,Strategic developments,Looting/property destruction,Xinjiang,星期一
2018/1/1,Violence against civilians,Attack,Shandong,星期一
2018/1/1,Protests,Peaceful protest,Liaoning,星期一
2018/1/1,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期一
2018/1/1,Protests,Peaceful protest,Guangdong,星期一
2018/1/2,Protests,Peaceful protest,Fujian,星期二
2018/1/2,Protests,Peaceful protest,Shaanxi,星期二
2018/1/2,Protests,Peaceful protest,Henan,星期二
2018/1/2,Protests,Protest with intervention,Yunnan,星期二
2018/1/2,Protests,Peaceful protest,Zhejiang,星期二
2018/1/2,Protests,Protest with intervention,Zhejiang,星期二
2018/1/2,Protests,Peaceful protest,Shaanxi,星期二
2018/1/3,Protests,Peaceful protest,Gansu,星期三
2018/1/3,Protests,Protest with intervention,Hebei,星期三
2018/1/3,Strategic developments,Looting/property destruction,Hunan,星期三
2018/1/3,Protests,Peaceful protest,Fujian,星期三
2018/1/4,Protests,Peaceful protest,Guangdong,星期四
2018/1/4,Protests,Peaceful protest,Sichuan,星期四
2018/1/4,Protests,Peaceful protest,Yunnan,星期四
2018/1/5,Protests,Peaceful protest,Beijing,星期五
2018/1/5,Protests,Peaceful protest,Beijing,星期五
2018/1/5,Protests,Peaceful protest,Shaanxi,星期五
2018/1/5,Violence against civilians,Attack,Jiangxi,星期五
2018/1/5,Protests,Peaceful protest,Jiangsu,星期五
2018/1/5,Protests,Peaceful protest,Jilin,星期五
2018/1/5,Protests,Peaceful protest,Guangdong,星期五
2018/1/5,Protests,Protest with intervention,Fujian,星期五
2018/1/5,Protests,Peaceful protest,Jiangsu,星期五
2018/1/6,Protests,Protest with intervention,Beijing,星期六
2018/1/6,Violence against civilians,Attack,Beijing,星期六
2018/1/6,Protests,Peaceful protest,Shanghai,星期六
2018/1/6,Protests,Protest with intervention,Hunan,星期六
2018/1/6,Protests,Peaceful protest,Liaoning,星期六
2018/1/6,Violence against civilians,Abduction/forced disappearance,Hubei,星期六
2018/1/6,Violence against civilians,Abduction/forced disappearance,Xinjiang,星期六
2018/1/7,Protests,Peaceful protest,Beijing,星期日
2018/1/7,Protests,Protest with intervention,Hebei,星期日
2018/1/7,Protests,Peaceful protest,Shanghai,星期日
2018/1/7,Protests,Protest with intervention,Guangdong,星期日
2018/1/8,Protests,Peaceful protest,Shanxi,星期一
2018/1/8,Protests,Peaceful protest,Guangdong,星期一
2018/1/8,Protests,Protest with intervention,Hunan,星期一
2018/1/8,Protests,Peaceful protest,Shanghai,星期一
2018/1/8,Violence against civilians,Attack,Hubei,星期一
2018/1/8,Protests,Peaceful protest,Shaanxi,星期一
2018/1/8,Protests,Peaceful protest,Anhui,星期一
2018/1/8,Protests,Peaceful protest,Guangdong,星期一
2018/1/8,Protests,Peaceful protest,Jilin,星期一
2018/1/8,Battles,Armed clash,Henan,星期一
2018/1/8,Protests,Peaceful protest,Jilin,星期一
2018/1/8,Protests,Protest with intervention,Beijing,星期一
2018/1/8,Protests,Peaceful protest,Hebei,星期一
2018/1/8,Protests,Peaceful protest,Shandong,星期一
2018/1/8,Protests,Excessive force against protesters,Hebei,星期一
2018/1/8,Protests,Peaceful protest,Hunan,星期一
2018/1/9,Protests,Peaceful protest,Shanghai,星期二
2018/1/9,Strategic developments,Looting/property destruction,Shanxi,星期二
2018/1/9,Protests,Protest with intervention,Jilin,星期二
2018/1/9,Protests,Excessive force against protesters,Anhui,星期二
2018/1/10,Protests,Peaceful protest,Hebei,星期三
