EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
1-Jan-18,2,Protests,Peaceful protest,Hunan,Yongzhou,Lengshuitan,26.461,111.592,2,0
1-Jan-18,2,Protests,Peaceful protest,Guangdong,Yangjiang,Jiangcheng,21.862,111.955,2,0
1-Jan-18,3,Strategic developments,Looting/property destruction,Xinjiang,Karamay,Karamay,45.603,84.868,2,0
1-Jan-18,3,Violence against civilians,Attack,Shandong,Jinan,Lixia,36.666,117.076,2,0
1-Jan-18,2,Protests,Peaceful protest,Liaoning,Chaoyang,Beipiao,41.801,120.771,1,0
1-Jan-18,1,Violence against civilians,Abduction/forced disappearance,Xinjiang,Ili Kazak Autonomous,Yining City,43.946,81.691,1,0
1-Jan-18,2,Protests,Peaceful protest,Guangdong,Shanwei,Haifeng,22.967,115.323,1,0
2-Jan-18,1,Protests,Peaceful protest,Fujian,Fuzhou,Fuqing,25.721,119.384,1,0
2-Jan-18,3,Protests,Peaceful protest,Shaanxi,Xi'an,Huyi,33.998,108.586,1,0
2-Jan-18,2,Protests,Peaceful protest,Henan,Xinyang,Pingqiao,32.101,114.126,2,0
2-Jan-18,1,Protests,Protest with intervention,Yunnan,Qujing,Qilin,25.495,103.805,2,0
2-Jan-18,2,Protests,Peaceful protest,Zhejiang,Wenzhou,Xiashatang,27.787,120.659,1,0
2-Jan-18,2,Protests,Protest with intervention,Zhejiang,Jiaxing,Nanhu,30.723,120.682,2,0
2-Jan-18,1,Protests,Peaceful protest,Shaanxi,Xi'an,Xincheng,34.266,108.961,1,0
3-Jan-18,2,Protests,Peaceful protest,Gansu,Qingyang,Yonghe,35.321,108.315,1,0
3-Jan-18,2,Protests,Protest with intervention,Hebei,Handan,Congtai,36.636,114.493,2,0
3-Jan-18,1,Strategic developments,Looting/property destruction,Hunan,Changsha,Furong,28.185,113.032,1,0
3-Jan-18,1,Protests,Peaceful protest,Fujian,Fuzhou,Fuqing,25.721,119.384,1,0
4-Jan-18,2,Protests,Peaceful protest,Guangdong,Guangzhou,Guangzhou,23.173,113.359,2,0
4-Jan-18,2,Protests,Peaceful protest,Sichuan,Dazhou,Tongchuan,31.215,107.504,2,0
4-Jan-18,2,Protests,Peaceful protest,Yunnan,Deqen Tibetan Autonomous,Weixi Lisu Autonomous,27.176,99.289,1,0
5-Jan-18,2,Protests,Peaceful protest,Beijing,Beijing,Beijing,39.906,116.391,3,0
5-Jan-18,1,Protests,Peaceful protest,Beijing,Haidian,Beijing-Haidian,39.96,116.294,1,0
5-Jan-18,1,Protests,Peaceful protest,Shaanxi,Xi'an,Baqiao,34.274,109.066,1,0
5-Jan-18,1,Violence against civilians,Attack,Jiangxi,Nanchang,Nantai,28.489,116.412,1,1
5-Jan-18,1,Protests,Peaceful protest,Jiangsu,Lianyungang,Xinpu,34.356,119.159,2,0
5-Jan-18,2,Protests,Peaceful protest,Jilin,Yanbian Korean Autonomous,Yanji City,42.891,129.509,1,0
5-Jan-18,1,Protests,Peaceful protest,Guangdong,Dongguan,Xinji,23.062,113.589,1,0
5-Jan-18,2,Protests,Protest with intervention,Fujian,Zhangzhou,Xiangcheng,24.511,117.654,2,0
5-Jan-18,1,Protests,Peaceful protest,Jiangsu,Wuxi,Jiangyin,31.921,120.285,1,0
6-Jan-18,1,Protests,Protest with intervention,Beijing,Xicheng,Beijing-Xicheng,39.912,116.359,1,0
6-Jan-18,1,Violence against civilians,Attack,Beijing,Xicheng,Beijing-Xicheng,39.912,116.359,1,0
6-Jan-18,1,Protests,Peaceful protest,Shanghai,Shanghai,Shanghai,31.231,121.475,3,0
6-Jan-18,1,Protests,Protest with intervention,Hunan,Changsha,Yuelu,28.235,112.931,1,0
6-Jan-18,2,Protests,Peaceful protest,Liaoning,Shenyang,Shenhe,41.796,123.459,2,0
6-Jan-18,1,Violence against civilians,Abduction/forced disappearance,Hubei,Wuhan,Jiang'an,30.6,114.309,2,0
6-Jan-18,2,Violence against civilians,Abduction/forced disappearance,Xinjiang,Ili Kazak Autonomous,Yining City,43.946,81.691,2,0
7-Jan-18,2,Protests,Peaceful protest,Beijing,Beijing,Beijing,39.906,116.391,3,0
7-Jan-18,1,Protests,Protest with intervention,Hebei,Shijiazhuang,Chang'an,38.036,114.539,1,0
7-Jan-18,1,Protests,Peaceful protest,Shanghai,Shanghai,Shanghai,31.231,121.475,1,0
7-Jan-18,1,Protests,Protest with intervention,Guangdong,Dongguan,Xinji,23.062,113.589,1,0
8-Jan-18,1,Protests,Peaceful protest,Shanxi,Yuncheng,Yanhu,35.015,110.998,2,0
8-Jan-18,1,Protests,Peaceful protest,Guangdong,Shenzhen,Shenzhen-Bao'an,22.687,113.863,1,0
8-Jan-18,1,Protests,Protest with intervention,Hunan,Changsha,Yuelu,28.235,112.931,1,0
8-Jan-18,2,Protests,Peaceful protest,Shanghai,Shanghai,Shanghai,31.231,121.475,3,0
8-Jan-18,2,Violence against civilians,Attack,Hubei,Wuhan,Jianghan,30.601,114.271,1,0
8-Jan-18,2,Protests,Peaceful protest,Shaanxi,Xi'an,Huyi,33.998,108.586,1,0
8-Jan-18,1,Protests,Peaceful protest,Anhui,Hefei,Yaohai,31.858,117.309,1,0
8-Jan-18,1,Protests,Peaceful protest,Guangdong,Guangzhou,Guangzhou,23.173,113.359,2,0
8-Jan-18,1,Protests,Peaceful protest,Jilin,Baishan,Fusong,42.221,127.448,1,0
8-Jan-18,1,Battles,Armed clash,Henan,Luoyang,Luolong,34.619,112.464,1,0
8-Jan-18,1,Protests,Peaceful protest,Jilin,Changchun,Chaoyang,43.833,125.288,1,0
8-Jan-18,1,Protests,Protest with intervention,Beijing,Xicheng,Beijing-Xicheng,39.912,116.359,1,0
8-Jan-18,1,Protests,Peaceful protest,Hebei,Zhangjiakou,Qiaodong,40.787,114.888,1,0
8-Jan-18,1,Protests,Peaceful protest,Shandong,Tai'an,Taishan,36.192,117.135,2,0
8-Jan-18,1,Protests,Excessive force against protesters,Hebei,Tangshan,Laoting,39.425,118.907,1,0
8-Jan-18,1,Protests,Peaceful protest,Hunan,Hengyang,Hengdong,27.084,112.948,1,0
9-Jan-18,1,Protests,Peaceful protest,Shanghai,Pudong New Area,Shanghai-Pudong New Area,31.112,121.719,1,0
9-Jan-18,1,Strategic developments,Looting/property destruction,Shanxi,Linfen,Fushan,35.968,111.849,1,0
9-Jan-18,1,Protests,Protest with intervention,Jilin,Baishan,Fusong,42.221,127.448,1,0
9-Jan-18,1,Protests,Excessive force against protesters,Anhui,Suzhou,Sixian,33.483,117.91,1,0
10-Jan-18,2,Protests,Peaceful protest,Hebei,Cangzhou,Yunhe,38.31,116.832,2,0
10-Jan-18,1,Protests,Peaceful protest,Henan,Luoyang,Luolong,34.619,112.464,1,0
10-Jan-18,1,Protests,Peaceful protest,Hubei,Wuhan,Jiang'an,30.6,114.309,2,0
10-Jan-18,2,Protests,Peaceful protest,Hunan,Huaihua,Hecheng,27.579,110.04,2,0
10-Jan-18,1,Protests,Peaceful protest,Hubei,Wuhan,Hanyang,30.554,114.219,1,0
10-Jan-18,2,Protests,Peaceful protest,Fujian,Fuzhou,Gulou,26.082,119.304,2,0
